timestamp,city,model,pde_mode,lambda_cons,lambda_gw,lambda_prior,lambda_smooth,lambda_mv,_src,_run_dir,horizon,r2,mae,coverage80_uncal,coverage80_cal,sharpness80_uncal,sharpness80_cal
20260223-202808,Nansha,PoroElasticSubsNet,consolidation,1.0,0.0,0.2,0.01,0.01,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644,H1,0.9934360780645505,0.005451749544590712,0.9725345243595667,0.9725345243595667,24.335562862684192,24.335562862684192
20260223-202808,Nansha,PoroElasticSubsNet,consolidation,1.0,0.0,0.2,0.01,0.01,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644,H2,0.9795359685387023,0.01248222403228283,0.7972175162996047,0.8000410698701166,32.32578058738877,32.54555530072141
20260223-202808,Nansha,PoroElasticSubsNet,consolidation,1.0,0.0,0.2,0.01,0.01,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-182644,H3,0.9698153730005318,0.01782235875725746,0.7955747214949432,0.8000410698701166,49.51360578942501,50.15121548006699
20260222-215049,Nansha,GeoPriorSubsNet,on,1.0,0.1,0.2,0.01,0.01,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331,H1,0.8963778964863411,0.0035246156621724367,0.9790543662405667,0.9790543662405667,23.244874687581664,23.244874687581664
20260222-215049,Nansha,GeoPriorSubsNet,on,1.0,0.1,0.2,0.01,0.01,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331,H2,0.8883555583821918,0.008313052356243134,0.8223728117459829,0.8223728117459829,27.592224706985775,27.592224706985775
20260222-215049,Nansha,GeoPriorSubsNet,on,1.0,0.1,0.2,0.01,0.01,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260222-141331,H3,0.8735846443576366,0.01597694121301174,0.7935725653267621,0.8000410698701166,48.40746668258111,49.29692692253824
20260220-172641,Zhongshan,GeoPriorSubsNet,on,1.0,0.1,0.2,0.01,0.01,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001,H1,0.8971360003448594,0.0015230965800583363,,,,
20260220-172641,Zhongshan,GeoPriorSubsNet,on,1.0,0.1,0.2,0.01,0.01,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001,H2,0.8969788011757236,0.001915091765113175,,,,
20260220-172641,Zhongshan,GeoPriorSubsNet,on,1.0,0.1,0.2,0.01,0.01,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260218-175001,H3,0.8974266179719916,0.0018983003683388233,,,,
20260221-151353,Zhongshan,HybridAttn-NoPhysics,off,0.0,0.0,0.0,0.0,0.0,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340,H1,0.8927428655319013,0.002096092328429222,0.9131824342091955,0.9131824342091955,10.568290815641404,10.568290815641404
20260221-151353,Zhongshan,HybridAttn-NoPhysics,off,0.0,0.0,0.0,0.0,0.0,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340,H2,0.894077663881765,0.0021290539298206568,0.913222889738455,0.913222889738455,10.446258968495,10.446258968495
20260221-151353,Zhongshan,HybridAttn-NoPhysics,off,0.0,0.0,0.0,0.0,0.0,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-103340,H3,0.894640366568334,0.0022060435730963945,0.9164795598438417,0.9164795598438417,10.401659643388184,10.401659643388184
20260221-205355,Zhongshan,PoroElasticSubsNet,consolidation,1.0,0.0,0.2,0.01,0.01,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320,H1,0.8942884518358496,0.0024650900159031153,0.8449744118777434,0.8449744118777434,9.81394855799613,9.81394855799613
20260221-205355,Zhongshan,PoroElasticSubsNet,consolidation,1.0,0.0,0.2,0.01,0.01,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320,H2,0.8950816626539997,0.0026935026980936527,0.8801909500981047,0.8801909500981047,9.769716836611707,9.769716836611707
20260221-205355,Zhongshan,PoroElasticSubsNet,consolidation,1.0,0.0,0.2,0.01,0.01,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320\ablation_records\ablation_record.updated.jsonl,J:\nature\results\zhongshan_GeoPriorSubsNet_stage1\train_20260221-153320,H3,0.8944405209710019,0.0030568507499992847,0.8056920929668062,0.8056920929668062,10.096796544447582,10.096796544447582
20260223-155214,Nansha,HybridAttn-NoPhysics,off,0.0,0.0,0.0,0.0,0.0,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903,H1,0.896942094781511,0.0030936647672206163,0.9657066584526927,0.9657066584526927,19.818336242027023,19.818336242027023
20260223-155214,Nansha,HybridAttn-NoPhysics,off,0.0,0.0,0.0,0.0,0.0,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903,H2,0.8888709084948104,0.008429576642811298,0.7940859387032189,0.8000410698701166,26.43996520999019,26.8382127481053
20260223-155214,Nansha,HybridAttn-NoPhysics,off,0.0,0.0,0.0,0.0,0.0,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903\ablation_records\ablation_record.updated.jsonl,J:\nature\results\nansha_GeoPriorSubsNet_stage1\train_20260223-135903,H3,0.8763342647162836,0.015570085495710373,0.7958314081831717,0.8000410698701166,48.10180209078026,48.592418673041244
